name,value
eval_psqt_0_2_4,-13
eval_psqt_0_2_5,-12
eval_psqt_0_2_6,-39
eval_psqt_0_2_7,-21
eval_psqt_0_2_8,4
eval_psqt_0_2_9,15
eval_psqt_0_2_10,16
eval_psqt_0_2_11,0
eval_psqt_0_2_12,7
eval_psqt_0_2_13,21
eval_psqt_0_2_14,33
eval_psqt_0_2_15,1
eval_psqt_0_2_16,0
eval_psqt_0_2_17,15
eval_psqt_0_2_18,15
eval_psqt_0_2_19,15
eval_psqt_0_2_20,14
eval_psqt_0_2_21,27
eval_psqt_0_2_22,18
eval_psqt_0_2_23,10
eval_psqt_0_2_24,-6
eval_psqt_0_2_25,13
eval_psqt_0_2_26,13
eval_psqt_0_2_27,26
eval_psqt_0_2_28,34
eval_psqt_0_2_29,12
eval_psqt_0_2_30,10
eval_psqt_0_2_31,4
eval_psqt_0_2_32,-4
eval_psqt_0_2_33,5
eval_psqt_0_2_34,19
eval_psqt_0_2_35,50
eval_psqt_0_2_36,37
eval_psqt_0_2_37,37
eval_psqt_0_2_38,7
eval_psqt_0_2_39,-2
eval_psqt_0_2_40,-16
eval_psqt_0_2_41,37
eval_psqt_0_2_42,43
eval_psqt_0_2_43,40
eval_psqt_0_2_44,35
eval_psqt_0_2_45,50
eval_psqt_0_2_46,37
eval_psqt_0_2_47,-2
eval_psqt_0_2_48,-26
eval_psqt_0_2_49,16
eval_psqt_0_2_50,-18
eval_psqt_0_2_51,-13
eval_psqt_0_2_52,30
eval_psqt_0_2_53,59
eval_psqt_0_2_54,18
eval_psqt_0_2_55,-47
eval_psqt_0_2_56,-29
eval_psqt_0_2_57,4
eval_psqt_0_2_58,-82
eval_psqt_0_2_59,-37
eval_psqt_0_2_60,-25
eval_psqt_0_2_61,-42
eval_psqt_0_2_62,7
eval_psqt_0_2_63,-8
eval_psqt_0_3_0,-19
eval_psqt_0_3_1,-13
eval_psqt_0_3_2,1
eval_psqt_0_3_3,17
eval_psqt_0_3_4,16
eval_psqt_0_3_5,7
eval_psqt_0_3_6,-37
eval_psqt_0_3_7,-26
eval_psqt_0_3_8,-44
eval_psqt_0_3_9,-16
eval_psqt_0_3_10,-20
eval_psqt_0_3_11,-9
eval_psqt_0_3_12,-1
eval_psqt_0_3_13,11
eval_psqt_0_3_14,-6
eval_psqt_0_3_15,-71
eval_psqt_0_3_16,-45
eval_psqt_0_3_17,-25
eval_psqt_0_3_18,-16
eval_psqt_0_3_19,-17
eval_psqt_0_3_20,3
eval_psqt_0_3_21,0
eval_psqt_0_3_22,-5
eval_psqt_0_3_23,-33
eval_psqt_0_3_24,-36
eval_psqt_0_3_25,-26
eval_psqt_0_3_26,-12
eval_psqt_0_3_27,-1
eval_psqt_0_3_28,9
eval_psqt_0_3_29,-7
eval_psqt_0_3_30,6
eval_psqt_0_3_31,-23
eval_psqt_0_3_32,-24
eval_psqt_0_3_33,-11
eval_psqt_0_3_34,7
eval_psqt_0_3_35,26
eval_psqt_0_3_36,24
eval_psqt_0_3_37,35
eval_psqt_0_3_38,-8
eval_psqt_0_3_39,-20
eval_psqt_0_3_40,-5
eval_psqt_0_3_41,19
eval_psqt_0_3_42,26
eval_psqt_0_3_43,36
eval_psqt_0_3_44,17
eval_psqt_0_3_45,45
eval_psqt_0_3_46,61
eval_psqt_0_3_47,16
eval_psqt_0_3_48,27
eval_psqt_0_3_49,32
eval_psqt_0_3_50,58
eval_psqt_0_3_51,62
eval_psqt_0_3_52,80
eval_psqt_0_3_53,67
eval_psqt_0_3_54,26
eval_psqt_0_3_55,44
eval_psqt_0_3_56,32
eval_psqt_0_3_57,42
eval_psqt_0_3_58,32
eval_psqt_0_3_59,51
eval_psqt_0_3_60,63
eval_psqt_0_3_61,9
eval_psqt_0_3_62,31
eval_psqt_0_3_63,43
eval_psqt_0_4_0,-1
eval_psqt_0_4_1,-18
eval_psqt_0_4_2,-9
eval_psqt_0_4_3,10
eval_psqt_0_4_4,-15
eval_psqt_0_4_5,-25
eval_psqt_0_4_6,-31
eval_psqt_0_4_7,-50
eval_psqt_0_4_8,-35
eval_psqt_0_4_9,-8
eval_psqt_0_4_10,11
eval_psqt_0_4_11,2
eval_psqt_0_4_12,8
eval_psqt_0_4_13,15
eval_psqt_0_4_14,-3
eval_psqt_0_4_15,1
eval_psqt_0_4_16,-14
eval_psqt_0_4_17,2
eval_psqt_0_4_18,-11
eval_psqt_0_4_19,-2
eval_psqt_0_4_20,-5
eval_psqt_0_4_21,2
eval_psqt_0_4_22,14
eval_psqt_0_4_23,5
eval_psqt_0_4_24,-9
eval_psqt_0_4_25,-26
eval_psqt_0_4_26,-9
eval_psqt_0_4_27,-10
eval_psqt_0_4_28,-2
eval_psqt_0_4_29,-4
eval_psqt_0_4_30,3
eval_psqt_0_4_31,-3
eval_psqt_0_4_32,-27
eval_psqt_0_4_33,-27
eval_psqt_0_4_34,-16
eval_psqt_0_4_35,-16
eval_psqt_0_4_36,-1
eval_psqt_0_4_37,17
eval_psqt_0_4_38,-2
eval_psqt_0_4_39,1
eval_psqt_0_4_40,-13
eval_psqt_0_4_41,-17
eval_psqt_0_4_42,7
eval_psqt_0_4_43,8
eval_psqt_0_4_44,29
eval_psqt_0_4_45,56
eval_psqt_0_4_46,47
eval_psqt_0_4_47,57
eval_psqt_0_4_48,-24
eval_psqt_0_4_49,-39
eval_psqt_0_4_50,-5
eval_psqt_0_4_51,1
eval_psqt_0_4_52,-16
eval_psqt_0_4_53,57
eval_psqt_0_4_54,28
eval_psqt_0_4_55,54
eval_psqt_0_4_56,-28
eval_psqt_0_4_57,0
eval_psqt_0_4_58,29
eval_psqt_0_4_59,12
eval_psqt_0_4_60,59
eval_psqt_0_4_61,44
eval_psqt_0_4_62,43
eval_psqt_0_4_63,45
eval_psqt_0_5_0,-15
eval_psqt_0_5_1,36
eval_psqt_0_5_2,12
eval_psqt_0_5_3,-54
eval_psqt_0_5_4,8
eval_psqt_0_5_5,-28
eval_psqt_0_5_6,24
eval_psqt_0_5_7,14
eval_psqt_0_5_8,1
eval_psqt_0_5_9,7
eval_psqt_0_5_10,-8
eval_psqt_0_5_11,-64
eval_psqt_0_5_12,-43
eval_psqt_0_5_13,-16
eval_psqt_0_5_14,9
eval_psqt_0_5_15,8
eval_psqt_0_5_16,-14
eval_psqt_0_5_17,-14
eval_psqt_0_5_18,-22
eval_psqt_0_5_19,-46
eval_psqt_0_5_20,-44
eval_psqt_0_5_21,-30
eval_psqt_0_5_22,-15
eval_psqt_0_5_23,-27
eval_psqt_0_5_24,-49
eval_psqt_0_5_25,-1
eval_psqt_0_5_26,-27
eval_psqt_0_5_27,-39
eval_psqt_0_5_28,-46
eval_psqt_0_5_29,-44
eval_psqt_0_5_30,-33
eval_psqt_0_5_31,-51
eval_psqt_0_5_32,-17
eval_psqt_0_5_33,-20
eval_psqt_0_5_34,-12
eval_psqt_0_5_35,-27
eval_psqt_0_5_36,-30
eval_psqt_0_5_37,-25
eval_psqt_0_5_38,-14
eval_psqt_0_5_39,-36
eval_psqt_0_5_40,-9
eval_psqt_0_5_41,24
eval_psqt_0_5_42,2
eval_psqt_0_5_43,-16
eval_psqt_0_5_44,-20
eval_psqt_0_5_45,6
eval_psqt_0_5_46,22
eval_psqt_0_5_47,-22
eval_psqt_0_5_48,29
eval_psqt_0_5_49,-1
eval_psqt_0_5_50,-20
eval_psqt_0_5_51,-7
eval_psqt_0_5_52,-8
eval_psqt_0_5_53,-4
eval_psqt_0_5_54,-38
eval_psqt_0_5_55,-29
eval_psqt_0_5_56,-65
eval_psqt_0_5_57,23
eval_psqt_0_5_58,16
eval_psqt_0_5_59,-15
eval_psqt_0_5_60,-56
eval_psqt_0_5_61,-34
eval_psqt_0_5_62,2
eval_psqt_0_5_63,13
eval_psqt_1_0_0,0
eval_psqt_1_0_1,0
eval_psqt_1_0_2,0
eval_psqt_1_0_3,0
eval_psqt_1_0_4,0
eval_psqt_1_0_5,0
eval_psqt_1_0_6,0
eval_psqt_1_0_7,0
eval_psqt_1_0_8,13
eval_psqt_1_0_9,8
eval_psqt_1_0_10,8
eval_psqt_1_0_11,10
eval_psqt_1_0_12,13
eval_psqt_1_0_13,0
eval_psqt_1_0_14,2
eval_psqt_1_0_15,-7
eval_psqt_1_0_16,4
eval_psqt_1_0_17,7
eval_psqt_1_0_18,-6
eval_psqt_1_0_19,1
eval_psqt_1_0_20,0
eval_psqt_1_0_21,-5
eval_psqt_1_0_22,-1
eval_psqt_1_0_23,-8
eval_psqt_1_0_24,13
eval_psqt_1_0_25,9
eval_psqt_1_0_26,-3
eval_psqt_1_0_27,-7
eval_psqt_1_0_28,-7
eval_psqt_1_0_29,-8
eval_psqt_1_0_30,3
eval_psqt_1_0_31,-1
eval_psqt_1_0_32,32
eval_psqt_1_0_33,24
eval_psqt_1_0_34,13
eval_psqt_1_0_35,5
eval_psqt_1_0_36,-2
eval_psqt_1_0_37,4
eval_psqt_1_0_38,17
eval_psqt_1_0_39,17
eval_psqt_1_0_40,94
eval_psqt_1_0_41,100
eval_psqt_1_0_42,85
eval_psqt_1_0_43,67
eval_psqt_1_0_44,56
eval_psqt_1_0_45,53
eval_psqt_1_0_46,82
eval_psqt_1_0_47,84
eval_psqt_1_0_48,178
eval_psqt_1_0_49,173
eval_psqt_1_0_50,158
eval_psqt_1_0_51,134
eval_psqt_1_0_52,147
eval_psqt_1_0_53,132
eval_psqt_1_0_54,165
eval_psqt_1_0_55,187
eval_psqt_1_0_56,0
eval_psqt_1_0_57,0
eval_psqt_1_0_58,0
eval_psqt_1_0_59,0
eval_psqt_1_0_60,0
eval_psqt_1_0_61,0
eval_psqt_1_0_62,0
eval_psqt_1_0_63,0
eval_psqt_1_1_0,-29
eval_psqt_1_1_1,-51
eval_psqt_1_1_2,-23
eval_psqt_1_1_3,-15
eval_psqt_1_1_4,-22
eval_psqt_1_1_5,-18
eval_psqt_1_1_6,-50
eval_psqt_1_1_7,-64
eval_psqt_1_1_8,-42
eval_psqt_1_1_9,-20
eval_psqt_1_1_10,-10
eval_psqt_1_1_11,-5
eval_psqt_1_1_12,-2
eval_psqt_1_1_13,-20
eval_psqt_1_1_14,-23
eval_psqt_1_1_15,-44
eval_psqt_1_1_16,-23
eval_psqt_1_1_17,-3
eval_psqt_1_1_18,-1
eval_psqt_1_1_19,15
eval_psqt_1_1_20,10
eval_psqt_1_1_21,-3
eval_psqt_1_1_22,-20
eval_psqt_1_1_23,-22
eval_psqt_1_1_24,-18
eval_psqt_1_1_25,-6
eval_psqt_1_1_26,16
eval_psqt_1_1_27,25
eval_psqt_1_1_28,16
eval_psqt_1_1_29,17
eval_psqt_1_1_30,4
eval_psqt_1_1_31,-18
eval_psqt_1_1_32,-17
eval_psqt_1_1_33,3
eval_psqt_1_1_34,22
eval_psqt_1_1_35,22
eval_psqt_1_1_36,22
eval_psqt_1_1_37,11
eval_psqt_1_1_38,8
eval_psqt_1_1_39,-18
eval_psqt_1_1_40,-24
eval_psqt_1_1_41,-20
eval_psqt_1_1_42,10
eval_psqt_1_1_43,9
eval_psqt_1_1_44,-1
eval_psqt_1_1_45,-9
eval_psqt_1_1_46,-19
eval_psqt_1_1_47,-41
eval_psqt_1_1_48,-25
eval_psqt_1_1_49,-8
eval_psqt_1_1_50,-25
eval_psqt_1_1_51,-2
eval_psqt_1_1_52,-9
eval_psqt_1_1_53,-25
eval_psqt_1_1_54,-24
eval_psqt_1_1_55,-52
eval_psqt_1_1_56,-58
eval_psqt_1_1_57,-38
eval_psqt_1_1_58,-13
eval_psqt_1_1_59,-28
eval_psqt_1_1_60,-31
eval_psqt_1_1_61,-27
eval_psqt_1_1_62,-63
eval_psqt_1_1_63,-99
eval_psqt_1_2_0,-23
eval_psqt_1_2_1,-9
eval_psqt_1_2_2,-23
eval_psqt_1_2_3,-5
eval_psqt_1_2_4,-9
eval_psqt_1_2_5,-16
eval_psqt_1_2_6,-5
eval_psqt_1_2_7,-17
eval_psqt_1_2_8,-14
eval_psqt_1_2_9,-18
eval_psqt_1_2_10,-7
eval_psqt_1_2_11,-1
eval_psqt_1_2_12,4
eval_psqt_1_2_13,-9
eval_psqt_1_2_14,-15
eval_psqt_1_2_15,-27
eval_psqt_1_2_16,-12
eval_psqt_1_2_17,-3
eval_psqt_1_2_18,8
eval_psqt_1_2_19,10
eval_psqt_1_2_20,13
eval_psqt_1_2_21,3
eval_psqt_1_2_22,-7
eval_psqt_1_2_23,-15
eval_psqt_1_2_24,-6
eval_psqt_1_2_25,3
eval_psqt_1_2_26,13
eval_psqt_1_2_27,19
eval_psqt_1_2_28,7
eval_psqt_1_2_29,10
eval_psqt_1_2_30,-3
eval_psqt_1_2_31,-9
eval_psqt_1_2_32,-3
eval_psqt_1_2_33,9
eval_psqt_1_2_34,12
eval_psqt_1_2_35,9
eval_psqt_1_2_36,14
eval_psqt_1_2_37,10
eval_psqt_1_2_38,3
eval_psqt_1_2_39,2
eval_psqt_1_2_40,2
eval_psqt_1_2_41,-8
eval_psqt_1_2_42,0
eval_psqt_1_2_43,-1
eval_psqt_1_2_44,-2
eval_psqt_1_2_45,6
eval_psqt_1_2_46,0
eval_psqt_1_2_47,4
eval_psqt_1_2_48,-8
eval_psqt_1_2_49,-4
eval_psqt_1_2_50,7
eval_psqt_1_2_51,-12
eval_psqt_1_2_52,-3
eval_psqt_1_2_53,-13
eval_psqt_1_2_54,-4
eval_psqt_1_2_55,-14
eval_psqt_1_2_56,-14
eval_psqt_1_2_57,-21
eval_psqt_1_2_58,-11
eval_psqt_1_2_59,-8
eval_psqt_1_2_60,-7
eval_psqt_1_2_61,-9
eval_psqt_1_2_62,-17
eval_psqt_1_2_63,-24
eval_psqt_1_3_0,-9
eval_psqt_1_3_1,2
eval_psqt_1_3_2,3
eval_psqt_1_3_3,-1
eval_psqt_1_3_4,-5
eval_psqt_1_3_5,-13
eval_psqt_1_3_6,4
eval_psqt_1_3_7,-20
eval_psqt_1_3_8,-6
eval_psqt_1_3_9,-6
eval_psqt_1_3_10,0
eval_psqt_1_3_11,2
eval_psqt_1_3_12,-9
eval_psqt_1_3_13,-9
eval_psqt_1_3_14,-11
eval_psqt_1_3_15,-3
eval_psqt_1_3_16,-4
eval_psqt_1_3_17,0
eval_psqt_1_3_18,-5
eval_psqt_1_3_19,-1
eval_psqt_1_3_20,-7
eval_psqt_1_3_21,-12
eval_psqt_1_3_22,-8
eval_psqt_1_3_23,-16
eval_psqt_1_3_24,3
eval_psqt_1_3_25,5
eval_psqt_1_3_26,8
eval_psqt_1_3_27,4
eval_psqt_1_3_28,-5
eval_psqt_1_3_29,-6
eval_psqt_1_3_30,-8
eval_psqt_1_3_31,-11
eval_psqt_1_3_32,4
eval_psqt_1_3_33,3
eval_psqt_1_3_34,13
eval_psqt_1_3_35,1
eval_psqt_1_3_36,2
eval_psqt_1_3_37,1
eval_psqt_1_3_38,-1
eval_psqt_1_3_39,2
eval_psqt_1_3_40,7
eval_psqt_1_3_41,7
eval_psqt_1_3_42,7
eval_psqt_1_3_43,5
eval_psqt_1_3_44,4
eval_psqt_1_3_45,-3
eval_psqt_1_3_46,-5
eval_psqt_1_3_47,-3
eval_psqt_1_3_48,11
eval_psqt_1_3_49,13
eval_psqt_1_3_50,13
eval_psqt_1_3_51,11
eval_psqt_1_3_52,-3
eval_psqt_1_3_53,3
eval_psqt_1_3_54,8
eval_psqt_1_3_55,3
eval_psqt_1_3_56,13
eval_psqt_1_3_57,10
eval_psqt_1_3_58,18
eval_psqt_1_3_59,15
eval_psqt_1_3_60,12
eval_psqt_1_3_61,12
eval_psqt_1_3_62,8
eval_psqt_1_3_63,5
eval_psqt_1_4_0,-33
eval_psqt_1_4_1,-28
eval_psqt_1_4_2,-22
eval_psqt_1_4_3,-43
eval_psqt_1_4_4,-5
eval_psqt_1_4_5,-32
eval_psqt_1_4_6,-20
eval_psqt_1_4_7,-41
eval_psqt_1_4_8,-22
eval_psqt_1_4_9,-23
eval_psqt_1_4_10,-30
eval_psqt_1_4_11,-16
eval_psqt_1_4_12,-16
eval_psqt_1_4_13,-23
eval_psqt_1_4_14,-36
eval_psqt_1_4_15,-32
eval_psqt_1_4_16,-16
eval_psqt_1_4_17,-27
eval_psqt_1_4_18,15
eval_psqt_1_4_19,6
eval_psqt_1_4_20,9
eval_psqt_1_4_21,17
eval_psqt_1_4_22,10
eval_psqt_1_4_23,5
eval_psqt_1_4_24,-18
eval_psqt_1_4_25,28
eval_psqt_1_4_26,19
eval_psqt_1_4_27,47
eval_psqt_1_4_28,31
eval_psqt_1_4_29,34
eval_psqt_1_4_30,39
eval_psqt_1_4_31,23
eval_psqt_1_4_32,3
eval_psqt_1_4_33,22
eval_psqt_1_4_34,24
eval_psqt_1_4_35,45
eval_psqt_1_4_36,57
eval_psqt_1_4_37,40
eval_psqt_1_4_38,57
eval_psqt_1_4_39,36
eval_psqt_1_4_40,-20
eval_psqt_1_4_41,6
eval_psqt_1_4_42,9
eval_psqt_1_4_43,49
eval_psqt_1_4_44,47
eval_psqt_1_4_45,35
eval_psqt_1_4_46,19
eval_psqt_1_4_47,9
eval_psqt_1_4_48,-17
eval_psqt_1_4_49,20
eval_psqt_1_4_50,32
eval_psqt_1_4_51,41
eval_psqt_1_4_52,58
eval_psqt_1_4_53,25
eval_psqt_1_4_54,30
eval_psqt_1_4_55,0
eval_psqt_1_4_56,-9
eval_psqt_1_4_57,22
eval_psqt_1_4_58,22
eval_psqt_1_4_59,27
eval_psqt_1_4_60,27
eval_psqt_1_4_61,19
eval_psqt_1_4_62,10
eval_psqt_1_4_63,20
eval_psqt_1_5_0,-53
eval_psqt_1_5_1,-34
eval_psqt_1_5_2,-21
eval_psqt_1_5_3,-11
eval_psqt_1_5_4,-28
eval_psqt_1_5_5,-14
eval_psqt_1_5_6,-24
eval_psqt_1_5_7,-70
eval_psqt_1_5_8,-11
eval_psqt_1_5_9,4
eval_psqt_1_5_10,13
eval_psqt_1_5_11,14
eval_psqt_1_5_12,4
eval_psqt_1_5_13,-5
eval_psqt_1_5_14,-17
eval_psqt_1_5_15,-19
eval_psqt_1_5_16,-3
eval_psqt_1_5_17,11
eval_psqt_1_5_18,21
eval_psqt_1_5_19,23
eval_psqt_1_5_20,16
eval_psqt_1_5_21,7
eval_psqt_1_5_22,-9
eval_psqt_1_5_23,-18
eval_psqt_1_5_24,-4
eval_psqt_1_5_25,21
eval_psqt_1_5_26,24
eval_psqt_1_5_27,27
eval_psqt_1_5_28,23
eval_psqt_1_5_29,9
eval_psqt_1_5_30,-11
eval_psqt_1_5_31,-8
eval_psqt_1_5_32,22
eval_psqt_1_5_33,24
eval_psqt_1_5_34,27
eval_psqt_1_5_35,26
eval_psqt_1_5_36,33
eval_psqt_1_5_37,26
eval_psqt_1_5_38,3
eval_psqt_1_5_39,10
eval_psqt_1_5_40,17
eval_psqt_1_5_41,23
eval_psqt_1_5_42,15
eval_psqt_1_5_43,20
eval_psqt_1_5_44,45
eval_psqt_1_5_45,44
eval_psqt_1_5_46,13
eval_psqt_1_5_47,-12
eval_psqt_1_5_48,17
eval_psqt_1_5_49,14
eval_psqt_1_5_50,17
eval_psqt_1_5_51,17
eval_psqt_1_5_52,38
eval_psqt_1_5_53,23
eval_psqt_1_5_54,11
eval_psqt_1_5_55,-74
eval_psqt_1_5_56,-35
eval_psqt_1_5_57,-18
eval_psqt_1_5_58,-18
eval_psqt_1_5_59,-11
eval_psqt_1_5_60,15
eval_psqt_1_5_61,4
eval_psqt_1_5_62,-17
eval_psqt_1_5_63,0
eval_mobility_0_1_0,-16
eval_mobility_0_1_1,-12
eval_mobility_0_1_2,-8
eval_mobility_0_1_3,-4
eval_mobility_0_1_4,0
eval_mobility_0_1_5,4
eval_mobility_0_1_6,8
eval_mobility_0_1_7,12
eval_mobility_0_1_8,16
eval_mobility_0_2_0,-21
eval_mobility_0_2_1,-18
eval_mobility_0_2_2,-15
eval_mobility_0_2_3,-12
eval_mobility_0_2_4,-9
eval_mobility_0_2_5,-6
eval_mobility_0_2_6,-3
eval_mobility_0_2_7,0
eval_mobility_0_2_8,3
eval_mobility_0_2_9,6
eval_mobility_0_2_10,9
eval_mobility_0_2_11,12
eval_mobility_0_2_12,15
eval_mobility_0_2_13,18
eval_mobility_0_3_0,-14
eval_mobility_0_3_1,-12
eval_mobility_0_3_2,-10
eval_mobility_0_3_3,-8
eval_mobility_0_3_4,-6
eval_mobility_0_3_5,-4
eval_mobility_0_3_6,-2
eval_mobility_0_3_7,0
eval_mobility_0_3_8,2
eval_mobility_0_3_9,4
eval_mobility_0_3_10,6
eval_mobility_0_3_11,8
eval_mobility_0_3_12,10
eval_mobility_0_3_13,12
eval_mobility_0_3_14,14
eval_mobility_0_3_15,16
eval_mobility_0_4_0,-14
eval_mobility_0_4_1,-13
eval_mobility_0_4_2,-12
eval_mobility_0_4_3,-11
eval_mobility_0_4_4,-10
eval_mobility_0_4_5,-9
eval_mobility_0_4_6,-8
eval_mobility_0_4_7,-7
eval_mobility_0_4_8,-6
eval_mobility_0_4_9,-5
eval_mobility_0_4_10,-4
eval_mobility_0_4_11,-3
eval_mobility_0_4_12,-2
eval_mobility_0_4_13,-1
eval_mobility_0_4_14,0
eval_mobility_0_4_15,1
eval_mobility_0_4_16,2
eval_mobility_0_4_17,3
eval_mobility_0_4_18,4
eval_mobility_0_4_19,5
eval_mobility_0_4_20,6
eval_mobility_0_4_21,7
eval_mobility_0_4_22,8
eval_mobility_0_4_23,9
eval_mobility_0_4_24,10
eval_mobility_0_4_25,11
eval_mobility_0_4_26,12
eval_mobility_0_4_27,13
eval_mobility_1_1_0,-16
eval_mobility_1_1_1,-12
eval_mobility_1_1_2,-8
eval_mobility_1_1_3,-4
eval_mobility_1_1_4,0
eval_mobility_1_1_5,4
eval_mobility_1_1_6,8
eval_mobility_1_1_7,12
eval_mobility_1_1_8,16
eval_mobility_1_2_0,-21
eval_mobility_1_2_1,-18
eval_mobility_1_2_2,-15
eval_mobility_1_2_3,-12
eval_mobility_1_2_4,-9
eval_mobility_1_2_5,-6
eval_mobility_1_2_6,-3
eval_mobility_1_2_7,0
eval_mobility_1_2_8,3
eval_mobility_1_2_9,6
eval_mobility_1_2_10,9
eval_mobility_1_2_11,12
eval_mobility_1_2_12,15
eval_mobility_1_2_13,18
eval_mobility_1_3_0,-28
eval_mobility_1_3_1,-24
eval_mobility_1_3_2,-20
eval_mobility_1_3_3,-16
eval_mobility_1_3_4,-12
eval_mobility_1_3_5,-8
eval_mobility_1_3_6,-4
eval_mobility_1_3_7,0
eval_mobility_1_3_8,4
eval_mobility_1_3_9,8
eval_mobility_1_3_10,12
eval_mobility_1_3_11,16
eval_mobility_1_3_12,20
eval_mobility_1_3_13,24
eval_mobility_1_3_14,28
eval_mobility_1_3_15,32
eval_mobility_1_4_0,-28
eval_mobility_1_4_1,-26
eval_mobility_1_4_2,-24
eval_mobility_1_4_3,-22
eval_mobility_1_4_4,-20
eval_mobility_1_4_5,-18
eval_mobility_1_4_6,-16
eval_mobility_1_4_7,-14
eval_mobility_1_4_8,-12
eval_mobility_1_4_9,-10
eval_mobility_1_4_10,-8
eval_mobility_1_4_11,-6
eval_mobility_1_4_12,-4
eval_mobility_1_4_13,-2
eval_mobility_1_4_14,0
eval_mobility_1_4_15,2
eval_mobility_1_4_16,4
eval_mobility_1_4_17,6
eval_mobility_1_4_18,8
eval_mobility_1_4_19,10
eval_mobility_1_4_20,12
